nev	style
Beeple (Mike Winkelmann)	Concept Art, Sci-Fi, USA
Beksiński, Zdzisław	Painting, Horror, Poland
Bellmer, Hans	Photography, Visual Arts, Germany
Bellows, George Wesley	Painting, Oil, Portrait, USA
Bemelmans, Ludwig	Illustration, Watercolor, Gouache, Austria, USA
Benois, Alexandre	Painting, Oil, Watercolor, Russia
Bergey, Earle K.	Illustration, Painting, Cover Art, Pin-Ups, USA
Berkey, John	Painting, Sci-Fi, Star Wars, USA
Bernini, Gian Lorenzo	Sculpture, Marble, Painting, Baroque, Italy, 17th Century
Beskow, Elsa	Illustration, Watercolor, Children's Book, Cover Art, Sweden
Bidgood, James	Movie Director, Photography, USA
Biernacki, Szymon	Illustration, Animation, Character Design, Spain
Bierstadt, Albert	Painting, Oil, Landscape, USA, 19th Century
Biggers, John Thomas	Painting, Oil, Acrylic, Portrait, USA
Bilal, Enki	Illustration, Comic, France
Bilibin, Ivan	Illustration, Painting, Watercolor, Ink, Gouache, Art Nouveau, Russia
Billy, Butcher	Illustration, Painting, Cover Art, Brazil
Binkley, Ed	Illustration, Concept Art, Fantasy, Game Art, USA
Bischoff, Elmer	Painting, Oil, Acrylic, Portrait, USA
Bisley, Simon	Comic, UK
Bissell, Robert	Painting, Oil, UK
Blair, Mary	Illustration, Disney, USA
Blanchard, Antoine	Painting, Oil, Cityscape, France
Blanche, John	Illustration, Fantasy, Sci-Fi, Warhammer, UK
Blandin, Tim	Concept Art, Sci-Fi
Blevins, Neil	Illustration, Concept Art, Sci-Fi, Game Art, USA
Boccioni, Umberto	Painting, Oil, Portrait, Futurism, Italy
Bolland, Brian	Illustration, Comic, DC Comics, Cover Art, UK
Bonestell, Chesley	Illustration, Painting, Oil, Gouache, Sci-Fi, USA
Bonhomme, Olivier	Illustration, France
Bonnard, Pierre	Painting, Oil, Portrait, Landscape, Post-Impressionism, France, 19th Century
Booth, Franklin	Illustration, Watercolor, Ink, USA
Borgeaud, Marius	Painting, Oil, Portrait, Switzerland, France, 19th Century
Bors, Matt	Illustration, Comic, USA
Bosch, Hieronymus	Painting, Oil, Netherlands, 15th Century
Bosma, Sam	Illustration, Comic, Graphic Novel, Cover Art, USA
Bosschaert, Ambrosius (the Elder)	Painting, Oil, Still Life, Botanical, Flemish, 17th Century
Bosschart, Johfra	Illustration, Painting, Surrealism, Netherlands
Botero	Painting, Oil, Colombia
Botticelli, Sandro	Painting, Oil, Italy, 15th Century
Boucher, François	Painting, Illustration, Engraving, Portrait, Rococo, France, 18th Century
Bowater, Charlie	Illustration, Concept Art, Portrait, UK
Bowers, David Michael	Illustration, Painting, Oil, Cover Art, Surrealism, USA
Bowling, Frank	Painting, Acrylic, Expressionism, UK
Boys, Thomas Shotter	Painting, Watercolor, Cityscape, UK
Bradley, Noah	Concept Art, DnD, MTG, USA
Bramley, Frank	Painting, Oil, UK, 19th Century
Brauner, Victor	Painting, Oil, Surrealism, Romania,
Bridgman, George B.	Painting, Landscape, Portrait, Canada
Briggs, Austin	Illustration, Comic, Cartoon, USA
Britto, Romero	Painting, Acrylic, Pop-Art, Brazil
Brogan, Glen	Illustration, USA
Brom, Gerald	Illustration, Fantasy, Gothic, Horror, USA
Burne-Jones, Edward	Painting, Oil, Watercolor, Gouache, Stained Glass, Portrait, Mythology, UK, 19th Century
Burns, Jim	Illustration, Painting, Acrylic, Sci-Fi, Cover Art, UK
Bussière, Gaston	Illustration, Painting, Oil, Portrait, France, 19th Century
Böcklin, Arnold	Painting, Oil, Portrait, Landscape, Symbolism, Switzerland, 19th Century
Cadell, Francis	Painting, Oil, Portrait, Scotland, UK
Cadmus, Paul	Painting, Oil, Tempera, Portrait, Nudity, USA
Caldwell, Clyde	Illustration, Painting, Oil, Acrylic, Fantasy, Cover Art, USA
Calleri, Fred	Painting, Oil, Portrait, USA
Camoin, Charles	Painting, Oil, Portrait, France
Campbell Cooper, Colin	Painting, Oil, Watercolor, Cityscape, USA
Campion, Pascal	Illustration, Animation, France
Caniff, Milton	Comic, B&W, USA
Carpio, Pablo	Character Design, Concept Art, Game Art, Spain
Carson, Michael	Painting, Oil, Portrait, USA
Caruso, Santiago	Illustration, Concept Art, Cover Art, Gothic, Horror, Symbolism, Surrealism, Argentina
Cassegrain, Didier	Illustration, Comic, France
Casson, Alfred Joseph	Painting, Landscape, Oil, Canada
Catherall, Paul	Illustration, Linocut, Print, Cover Art, Poster, UK
Cearley, Clint	Illustration, Blizzard, DnD, MTG, USA
Cecile, Agnes (Silvia Pelissero)	Illustration, Painting, Watercolor, Portrait, Italy
Chagall, Marc	Painting, Cubism, Expressionism, Belarus, France
Chamberlain, John	Sculpture, Pop-Art, USA
Chardin, Jean Siméon	Painting, Oil, Still Life, Portrait, 18th Century, France
Charest, Travis	Illustration, Comic, Ink, DC Comics, Canada
Chavannes, Pierre Puvis de	Painting, Oil, Symbolism, France, 19th Century
Cheng, Hsiao-Ron	Illustration, Portrait, Taiwan
Cheng, Yanjun	Illustration, Portrait
Chermayeff, Ivan	Illustration, Graphic Design, Logo, UK, USA
Cheval, Michael	Painting, Oil, Portrait, Surrealism, Russia, USA
Chevrier, Sandra	Painting, Acrylic, Portrait, Canada
Chihuly, Dale	Sculpture, Glas, USA
Cho, Frank	Illustration, Comic, DC Comics, Marvel, Cover Art, South Korea, USA
Christensen, James C.	Illustration, Painting, Oil, Mythology, Fantasy, USA
Cimabue (Cenni di Pepo)	Painting, Tempera, Portrait, Mythology, Italy, 13th Century
